    "Time",    "Rainfall",     "Outflow",     "Outflow",   "Total Sed","     0.200mm","     0.300mm","     0.030mm","     0.010mm","     0.002mm"
   "(min)",     "(mm/hr)",     "(mm/hr)",   "(cu m /s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)",      "(kg/s)"
     17.00,      64.00086,      30.75153,     0.0004271,     0.0014790,     0.0009212,     0.0003446,     0.0001406,     0.0000522,     0.0000203
     17.10,      63.99974,      30.85505,     0.0004285,     0.0014808,     0.0009224,     0.0003450,     0.0001408,     0.0000523,     0.0000203
     17.20,      63.99974,      30.95733,     0.0004300,     0.0014827,     0.0009236,     0.0003455,     0.0001410,     0.0000523,     0.0000203
     17.30,      63.99974,      31.05839,     0.0004314,     0.0014845,     0.0009247,     0.0003459,     0.0001412,     0.0000524,     0.0000203
     17.40,      64.00086,      31.15827,     0.0004327,     0.0014864,     0.0009259,     0.0003463,     0.0001414,     0.0000525,     0.0000204
     17.50,      63.99974,      31.25700,     0.0004341,     0.0014884,     0.0009271,     0.0003468,     0.0001415,     0.0000525,     0.0000204
     17.60,      63.99974,      31.35460,     0.0004355,     0.0014903,     0.0009283,     0.0003472,     0.0001417,     0.0000526,     0.0000204
     17.70,      63.99974,      31.45110,     0.0004368,     0.0014922,     0.0009295,     0.0003477,     0.0001419,     0.0000527,     0.0000204
     17.80,      64.00086,      31.54652,     0.0004381,     0.0014941,     0.0009307,     0.0003481,     0.0001421,     0.0000527,     0.0000205
     17.90,      63.99974,      31.64090,     0.0004395,     0.0014961,     0.0009319,     0.0003486,     0.0001423,     0.0000528,     0.0000205
     18.00,      63.99974,      31.73426,     0.0004407,     0.0014981,     0.0009331,     0.0003490,     0.0001425,     0.0000529,     0.0000205
     18.10,      63.99974,      31.82661,     0.0004420,     0.0015000,     0.0009344,     0.0003495,     0.0001427,     0.0000530,     0.0000206
     18.20,      63.99974,      31.91798,     0.0004433,     0.0015020,     0.0009356,     0.0003500,     0.0001428,     0.0000530,     0.0000206
